100 486
1 11 21
1 18 18
1 29 22
2 98 15
2 11 28
2 44 12
2 6 13
3 44 15
3 95 21
3 40 28
3 78 28
3 81 27
3 58 11
4 56 13
4 86 15
4 68 17
4 52 26
4 48 22
4 98 15
4 11 15
5 38 16
5 57 13
5 60 11
6 4 132
6 54 161
6 23 118
6 96 113
6 9 169
6 77 169
6 71 143
6 29 137
7 45 19
7 57 29
7 50 12
8 4 14
8 42 19
8 89 14
8 12 14
8 75 18
8 98 12
9 89 17
9 55 23
9 50 14
9 97 25
9 21 22
9 70 11
9 16 18
10 97 20
10 94 26
10 30 22
10 45 20
10 81 28
11 30 18
11 51 27
11 75 23
12 61 29
12 32 23
12 49 18
12 56 16
12 13 17
12 29 14
13 82 268
13 76 299
14 96 25
14 58 19
14 49 26
14 99 24
14 4 23
14 24 21
14 31 15
14 43 11
14 62 14
14 75 29
14 92 20
15 95 16
15 61 13
15 1 13
15 18 17
16 47 131
16 29 162
16 23 141
16 90 126
17 43 125
17 100 165
17 12 133
17 7 153
17 15 164
18 86 29
18 28 16
18 10 18
18 2 12
18 89 17
18 34 14
18 69 27
19 39 135
19 42 132
19 94 148
19 82 147
19 66 134
20 29 27
21 72 13
21 44 26
21 20 24
21 54 20
21 11 18
22 91 15
22 70 24
22 44 11
22 18 14
22 11 20
23 46 14
23 69 16
23 47 25
23 62 15
25 81 16
25 51 16
25 33 14
25 2 20
25 32 15
26 45 21
26 77 20
26 62 27
26 61 22
26 67 29
27 11 19
27 67 17
28 39 28
28 49 14
28 54 20
28 57 11
28 74 20
28 76 27
28 81 11
28 70 14
29 83 22
29 42 15
29 70 26
29 85 22
30 17 145
30 10 142
30 32 140
31 39 11
32 95 13
32 6 18
32 22 21
32 11 18
32 42 11
32 26 17
32 46 17
32 68 16
33 29 21
33 13 16
33 68 13
34 24 24
34 95 26
34 23 12
34 71 14
35 13 17
35 60 15
35 4 15
35 26 13
35 54 14
35 25 29
36 42 11
36 46 14
36 43 21
36 27 25
37 33 11
37 64 21
37 16 25
38 92 12
38 19 16
38 14 14
39 22 17
39 100 20
39 13 23
39 89 25
39 97 25
39 26 29
40 92 19
40 3 14
40 9 18
40 65 27
41 30 125
41 39 151
41 33 159
42 62 28
42 67 12
42 95 28
42 66 13
42 49 12
42 39 15
42 54 22
42 45 13
43 100 12
43 69 15
43 55 23
43 14 28
43 47 20
44 69 166
44 93 160
44 13 132
44 3 133
44 39 167
44 62 157
44 89 162
44 20 132
44 25 175
45 99 133
45 63 119
45 26 141
